,,,27,"User enters a valid last name into the ""Last Name"" field.","""SR'TestL2""","User sees last name in the ""Last Name"" field. With the ""Next"" button not clickable","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,28,"User clicks the ""Contact Details"" field",,"The ""Contact Details"" field is pre-filled with the users email address that was entered in the registration section.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,29,"User enters a valid phone number into the ""Phone Number"" field.","""123-456-7892""","User sees phone number in the ""Phone Number"" field. With the ""Next"" button not clickable","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,30,"User enters company name in the ""Company Details"" field","""Test Company SR-3""","The Company Name field now contains valid information. With the ""Next"" button clickable","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,31,"User selects the ""Next"" button.",,"User is directed to ""Invessio Marketplace-Invites"" page","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,32,"User selects ""Sponsor I want to list my offering"" button",,User is able to make the selection and page reflects the selection made. ,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,33,"User selects the ""Register"" button.",,"User is directed to the ""Sponsor Dashboard"".","Pass Desktop, Pass Mobile, Pass Tablet",,,,
Sponsor Registration SR-3,,"Fail Desktop, Not Passing All Test States",,OUT OF SYNC,,,"Execution start date: 
Execution completion:",,,,
Id,Description,Precondition,Test Step #,Test Step Description,Test Data,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,Comments,Bug report,
SR-3,"User is a Sponsor attempting to register for the Invessio Marketplace, they register with google and fill out all of their information, eventually ending up at the ""Sponsor Dashboard"". 

Happy Path Test",User is at the home page.,1,"User clicks the ""Register"" button.",,"User is directed to the ""Sign in"" page.","Pass Mobile, Pass Tablet, Fail Desktop",OUT OF SYNC,On UAT if the user already has an account they are automatically logged in and sent to the /dashboard page with no content.,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/328,"Fail Desktop, Not Passing All Test States"
,,,2,"User clicks the ""No account? Create one"" button.",,"User is directed to the ""Create account"" page.","Pass Mobile, Pass Desktop, Pass Tablet",,User is not able to use sign up with google option is they have previously registered with a different gmail account.,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/371,
,,,3,"User clicks the ""Sign Up with Google"" button",,"User is directed to the ""Google sign in"" page","Fail Desktop, Pass Mobile, Pass Tablet",,,,
,,,4,User selects the email address they want to sign in with,"""lindsay+google@heartandspadeventures.com""","User sees ""Google with allow ciamlogin.com to access this info about you"" with the correct name and email address ","Fail Desktop, Pass Mobile, Pass Tablet",,,,
,,,5,"User selects the ""Continue"" button",,User is directed to code page.,Fail Desktop,,,,
,,,6,User opens email.,,User verifies that code was recieved.,Fail Desktop,,,,
,,,7,"User enters code in the ""Enter Code"" box.","23657379
23037706","User sees the code in the ""Enter code"" box.",Fail Desktop,,,,
,,,8,"User clicks the ""Next"" button.",,"User is directed to the ""Add Details"" page.",Fail Desktop,,,,
,,,9,"User enters a Password into the ""Password"" field.","""SR-Pass123456""",User is able to enter a valid password into the field.,Fail Desktop,,,,
,,,10,"User enters a Confirmation Password into the ""Re- enter Password"" field.","""SR-Pass123456""",User is able to enter a valid confirmation password into the field.,Fail Desktop,,,,
,,,11,"User clicks the ""Next"" button.",,"User is directed to ""Just the basics about you"" page",Fail Desktop,,,,
,,,12,"User enters a display name into the ""Display name field.","""Sponsor test cases 1.1""",User is able to enter a valid Display Name into the field.,Fail Desktop,,,,
,,,13,"User selects the ""Next"" button",,"User is directed to the ""Just the Basics""",Fail Desktop,,,,
,,,14,"User enters their first name into the ""First Name"" field.","""SR'TestF1""",User is able to enter their information into the first name field.,Fail Desktop,,,,
,,,15,"User enters their last name into the ""Last Name"" field.","""SR'TestL1""",User is able to enter their information into the last name field.,Fail Desktop,,,,
,,,16,"User ""Contact Details"" should be pre-populated with the email entered on the ""Register to Continue"" section. ",,User should see their email address auto populated.,Fail Desktop,,,,
,,,17,User enters their phone number into the Phone Number field.,"""801-389-6612""",User is able to enter a valid phone number into the field.,Fail Desktop,,,,
,,,18,User enters their company name into the Company Name field.,"""SR TestCompany1""",User is able to enter a valid company name into the field.,Fail Desktop,,,,
,,,19,User enters their website URL into the Website URL field.,"""https://yrefy.com/""",User is able to enter a valid website URL into the field.,Fail Desktop,,,,
,,,20,"User selects the ""Next"" button.",,"User is directed to ""Invessio Marketplace-Invites"" page",Fail Desktop,,,,
,,,21,"User selects ""None of these above"".",,User is able to make the selection and page reflects the selection made. ,Fail Desktop,,,,
,,,22,"User clicks the ""Next"" button",,"User is directed to the ""Tell us how you plan to use Invessio Marketplace"" page",Fail Desktop,,,,
,,,23,"User selects ""Sponsor I want to list my offering"" button",,User is able to make the selection and page reflects the selection made. ,Fail Desktop,,,,
,,,24,"User selects the ""Register"" button.",,"User is directed to the ""Sponsor Dashboard"".",Fail Desktop,,,,
Sponsor Login SL-1,,"Fail Desktop, Not Passing All Test States",,BLOCKED,,,"Execution start date: 01/03
Execution completion: 01/05",,,,
Id,Description,Precondition,Test Step #,Test Step Description,Test Data,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,Comments,Bug report,
,,,**Automation Only**,User has completed SR-1 test user: ####,,,,,,,
SL-1,"User is a sponsor who has previously registered with Invessio. User has closed their session and is attempting to login to their account. User is able to successfully login to their account and enable the ""Remember me"" feature. Happy path test.","User has arrived at the ""Login to Continue"" page and has previously registered an account. ",1,"User selects their previously registered email address from the ""Pick an account"" page.","""lindsay+sponsortestn@heartandspadeventures.com""","User is able to make selection and is directed to the ""Enter Password"" page","Pass Desktop, Pass Mobile, Pass Tablet",BLOCKED,,,"Fail Desktop, Not Passing All Test States"
,,,2,"User enters their previously registered password into the ""Password"" field.","""SR-Pass123456""",Password field reflects their input correctly without error. ,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,3,"User selects the ""Sign in"" button",,"User is directed the ""Stay signed in"" page","Pass Desktop, Pass Mobile, Pass Tablet",,"Sign in option doesn't show up, out of control per bug.",https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/168,
,,,4,"User selects ""No"" from the ""Stay signed in"" page",,"User is directed to the ""Sponsor Dashboard"" and receives no errors. ","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,5,"User closes and reopens session and begins again at the ""Login"" page.",,"Login page ""Email Address"" shows previous email and says use another email","Pass Mobile, Pass Tablet, Fail Desktop",,Logged back in after selecting no,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/389,
,,,6,"User selects their previously registered email address from the ""Pick an account"" page.","""lindsay+sponsortestn@heartandspadeventures.com""","User is able to select ""Email Address"" with no error","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,7,"User enters their previously registered password into the ""Password"" field.","""SR-Pass123456""",Password field reflects their input correctly without error. ,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,8,"User clicks the ""Next"" button.",,"User is directed to the ""Stay signed in"" page.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,9,"User selects ""Yes"" from the ""Stay signed in"" page",,"User logs in successfully and is directed to the ""Sponsor Dashboard"".","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,,User closes and reopens session ,,"User is directed to the ""Sponsor Dashboard"" and receives no errors. ",,,,,
Sponsor Login SL-2,,Manual Testing Complete,,SCRIPTED,,,"Execution start date: 01/05
Execution completion: 01/05",,,,
Id,Description,Precondition,Test Step #,Test Step Description,Test Data,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,Comments,Bug report,
,,,**Automation Only**,User has completed SR-1 test user: ####,,,,,,,
SL-2,User is a sponsor who has previously registered with Invessio. User has closed their session and is attempting to login to their account. User enters an incorrect email and password and is met with an error. User then resets their password and is able to login using the newly created password. Forgot password test.,"User has arrived at the ""Login to Continue"" page and has previously registered an account. ",1,"User selects their previously registered email address from the ""Pick an account"" page.","""lindsay+sponsortestn@heartandspadeventures.com""","User is able to make selection and is directed to the ""Enter Password"" page","Pass Desktop, Pass Mobile, Pass Tablet",SCRIPTED,,,Manual Testing Complete
,,,2,"User selects ""Sign in"" button. ",,"User receives error message ""Please Enter password"". User remains on the ""Sign in"" page.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,3,"User clicks the ""Next"" button.",,User is directed to the Password page.,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,4,"User enters incorrect password into the ""Password"" field.","""SL-PassNo2""","""Password"" field matches their entry.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,5,"User selects ""Sign In"" button. ",,"User receives error message ""We couldnt find an account with this email address or password"" message. User remains on the ""Sign in"" page. ","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,6,"User again enters an incorrect password into the ""Password"" field.","""SL-PassNo6""","""Password"" field matches their entry.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,7,"User selects ""Sign In"" button. ",,"User receives error message ""We couldn't find an account with this email address or password"" message. User remains on the ""Sign in"" page. ","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,8,"User selects ""Forgot password?"" button.",,User receives a prompt to enter the code sent to the valid email address.,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,9,,"""417800700""","User sees passcode in ""Enter code"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,10,User enters the code sent to their email.,,"User is directed to the ""Update your password"" page","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,11,"User enters a valid password into the ""Password"" field of the reset window.","""SL-PassYes2""",User sees the new password entered in the correct field.,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,12,"User enters password in the ""Confirm Password "" field.",SL-PassYes2,User sees password in Confirm password field.,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,13,"User selects ""Reset password"" button.",,"User is directed to the ""Stay signed in?"" page.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,14,"User clicks the ""Yes"" button.",,"User logs in successfully and is directed to the ""Sponsor Dashboard"".","Pass Desktop, Pass Mobile, Pass Tablet",,,,
Sponsor Login SL-3,,Manual Testing Complete,,OUT OF SYNC,,,"Execution start date: 01/05
Execution completion: 01/05",,,,
Id,Description,Precondition,Test Step #,Test Step Description,,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,Bug report,,
,,,1,"User selects the ""Use Another account"" button",,"User is directed to the ""Sign in"" page","Pass Desktop, Pass Mobile, Pass Tablet",OUT OF SYNC,,,
SL-3,User is a Sponsor who has previously registered with Invessio. User is attempting to Signin to their account with incorrect credentials,"User has arrived at the ""Sign in"" page",2,"User enters the incorrect email address into the ""Email address"" field.","""wrongemail@gmail.com""","""Email Address"" field matches their entry.","Pass Desktop, Pass Mobile, Pass Tablet",,,,Manual Testing Complete
,,,3,"User clicks the ""Next"" button",,"User receieves error message ""We couldn't find an account with this email address""","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,4,"User enters a previoiusly registered email and clicks ""Next""","""fullstackqa+IR'Test1@gmail.com""
""todd+IRTest3@heartandspadeventures.com""","Error disappears and User is directed to the ""Enter Password"" page","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,5,"User enters the previously registered password into the ""Password"" field","""SR-Pass123456""
""SRTest3-Pass""","""Password"" field matches their entry.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,6,"User clicks ""Signin"" button. ",,"User is directed to the ""Stay signed in"" page","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,7,"User clicks the ""No"" button. ",,"User is directed to the ""Investor Dashboard""","Pass Desktop, Pass Mobile, Pass Tablet",,,,
Sponsor Account Creation SAC-1,,Manual Testing Complete,,IN CICD,,,"Execution start date: 01/05
Execution completion: 01/05",,,,
Id,Description,Precondition,Test Step #,Test Step Description,Test Data,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,Comments,Bug report,
,,,**Automation Only**,User has completed SR-1 test user: ####,,,,,,,
SAC-1,"User is a sponsor who has entered the Marketplace for the first time, they setup their sponsor account filling out all fields. User is able to verify their account is successfully created and listed as ""Approved"". Happy Path Test.","User has successfully registered for a Marketplace account. When they registerd they selected the options indicating they are a sponsor who wants to list assets on the marketplace. All buttons in the hero section are disabled except for ""Setup Sponsor Account""",1,"User Selects ""Setup Sponsor Account"" in the hero section.",,"User is directed to the ""Personal Details"" form.","Pass Desktop, Pass Mobile, Pass Tablet",IN CICD,,,Manual Testing Complete
,,,2,"User enters a valid first name into the ""First Name"" field.","""SAC'TestF1""","User is able to enter their information into the ""First Name"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,3,"User enters a valid middle name into the ""Middle Name"" field.","""SAC'TestM1""","User is able to enter their information into the ""Middle Name"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,4,"User enters a valid last name into the ""Last Name"" field.","""SAC'TestL1""","User is able to enter their information into the ""Last Name"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,5,"User enters valid date of birth into the ""Date of Birth"" field.","""01/01/2000""","User is able to enter their information into the ""Date of Birth"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,6,"User enters a phone number into the ""Phone Number"" field.","""123-456-7811""","User is able to enter their information into the ""Phone Number"" field. and sees email address in ""email address"" field not editable.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,7,"User enters a valid address into the ""Address"" field.","""0001-SAC Address Test""","User is able to enter their information into the ""Address"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,8,"User enters a valid address into the ""Address Line 2"" field.","""0001-SAC Address 2 Test""","User is able to enter their information into the ""Address Line 2"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,9,"User enters a valid zip code into the ""Zip Code"" field.","""11111""","User is able to enter their information into the ""Zip Code"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,10,"User enters a valid city into the ""City"" field.","""Test 'SacOne""","User is able to enter their information into the ""City"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,City field prevents special characters,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/163,
,,,11,"User selects an option from the ""State"" dropdown.","""FL""","User is able to scroll, and select their option from the ""State"" dropdown, the field now says reflects their choice.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,12,"User selects the ""Save & Next"" button.",,"User is directed to the ""Company Details"" form. All content loads properly.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,13,"User enters their company name into the ""Company Name"" field.","""Company SAC-1""","User is able to enter their information into the ""Company Name"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,14,"User chooses an option from the ""Company Type"" dropdown.","""LLC""","User is able to click on their option from the ""Company Type"" dropwdown, the field now says reflects their choice.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,15,"User enters a valid EIN into the ""EIN"" field.","""00-0000001""","User is able to enter their information into the ""EIN"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,16,"User enters a valid date into the ""Incorporation Date"" field.","""01-01-2020""","User is able to enter their information into the ""Incorporation Date"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,17,"User selects an option in the ""State of Incorporation"" Dropdown.","""UT""","User is able to scroll, and select their option from the ""State of Incorporation"" dropdown, the field now says their choice.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,18,"User selects an option from the ""Tax Reporting"" dropdown.","""K-1 (S Corporation)""","User is able to select their option in the ""Tax Reporting"" field, the other options listed are ""K-1 (S Corporations)"" ""1099-DIV"" ""1099-INT"" ""1099-MISC"" ""1099-B"" ""No Tax Reporting/Tax-Exempt"".","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,19,"User Enters a valid SEC Reg Number into the ""SEC Reg. Number"" field.","""801-000001""","User is able to enter their information into the ""SEC Reg. Number"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,20,"User enters their company address into the ""Address"" field.","""0001-SAC Company Address Test""","User is able to enter their information into the ""Address"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,21,"User enters their company address into the ""Address Line 2"" field.","""0001-SAC Company Address 2 Test""","User is able to enter their information into the ""Address Line 2"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,22,"User enters their zip code into the ""Zip Code"" field.","""21111""","User is able to enter their information into the ""Zip Code"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,23,"User enters their companie's city into the ""City"" field.","""Test-SacOneComp""","User is able to enter their information into the ""City"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,City field prevents special charaters,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/163,
,,,24,"User selects an option from the ""State"" dropdown.","""MI""","User is able to scroll, and select their option from the ""State"" dropdown, the field now reflects their choice.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,25,"User selects the ""Save & Next"" button.",,"User is directed to the ""Company Social & Marketing"" form. All content loads properly.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,26,"User enters a url into the ""Website URL"" field.","""https://yrefy.com/""","User is able to enter their information into the ""Website URL"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,27,"User enters a url into the ""Linkedin URL"" field.","""https://www.linkedin.com/company/yrefy-llc/""","User is able to enter their information into the ""Linkedin URL"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,28,"User uploads a logo by dragging the file into the ""Upload Company Logo"" section.","""logoSAC1.jpg""","User is able to upload their file by dragging it into the ""Upload Company Logo"" section. The file and file type are listed in the section.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,29,"User enters a description into the ""Your Company Description"" field.","""SAC-1 Company Description!""","User is able to enter their information into the ""Your Company Description"" field.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,30,"User uploads a presentation by clicking ""Browse"" on the ""Your Company Pitch Deck"" button.","""PresentationSac-1.PPT""","User is able to upload their file into the ""Your Company Pitch Deck"" section.  The file and file type are listed in the section.","Pass Desktop, Pass Mobile, Pass Tablet",,403 error,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/385,
,,,31,"User selects the ""Save & Next"" button.",,"User is directed to the ""Personal Profile Picture"" form. All content loads properly.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,32,"User uploads a profile picture by clicking ""Browse"" on the ""Upload Profile Picture"" Section.","""personalProfilePictureSAC1.jpg""","User is able to upload their file using the ""Browse"" button on the ""Upload Profile Picture"" Section.  The file and file type are listed in the section.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,33,"User selects the ""Save"" button.",,"User is directed to the ""My account"" section, their profile is listed showing the correct profile picture, company name, phone number, and email. Their account is listed as ""Approved"" by default. User can now see the ""Add offering details"" and ""Invite Investors and Advisors"" buttons are enabled.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
